sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower
A,2021-07-20,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[95.0, 75.0]","[3, 3]","[15705.275114856275, nan]",15705.275114856286,,,
A,2021-07-27,Influent,County 6,N1_per_PMMoV,"['1', '2']","[90.0, 80.0]","[3, 3]","[0.0038308152706144805, nan]",0.0038308152706144,,,
A,2021-07-27,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[6.866886703152957, 102.02448790179261]",26.468672036368005,6.740466156988065,178.4111880815549,3.926831085551413
A,2021-07-27,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[1792.5392424499437, nan]",1792.539242449944,,,
B1,2021-08-01,Influent,County 6,N1_per_PMMoV,"['1', '2']","[95.0, 70.0]","[3, 3]","[0.007252674842654254, nan]",0.0072526748426542,,,
B1,2021-08-01,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[72.4058571724575, 3.7808551374678965]",16.545575150875017,8.065675803925306,133.45124515644042,2.051356334310241
B1,2021-08-01,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[9983.331494006314, nan]",9983.331494006325,,,
B1,2021-08-03,Influent,County 6,N1_per_PMMoV,"['1', '3']","[90.0, 80.0]","[3, 3]","[0.0069561177113645015, nan]",0.0069561177113645,,,
B1,2021-08-03,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '3']","[90.0, 80.0]","[3, 3]","[112.50868770203357, 70.22797404613775]",88.88901619381008,1.3954932186133016,124.04401930766991,63.69720397648288
B1,2021-08-03,Influent,County 6,pmmov_gc_per_mL,"['1', '3']","[90.0, 80.0]","[3, 3]","[16174.063230445829, nan]",16174.063230445843,,,
B1,2021-08-08,Influent,County 6,N1_per_PMMoV,"['1', '2']","[85.0, 80.0]","[3, 3]","[0.001023208939128242, nan]",0.0010232089391282,,,
B1,2021-08-08,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[28.144542820021282, 44.64693677221342]",35.44809760436155,1.3858059102542142,49.12418316739249,25.57941003286593
B1,2021-08-08,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[27506.154162413783, nan]",27506.154162413797,,,
B1,2021-08-09,Influent,County 6,N1_per_PMMoV,"['1', '2']","[100.0, 80.0]","[3, 3]","[0.004500178224424401, nan]",0.0045001782244244,,,
B1,2021-08-09,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[52.88379945523863, 75.42055690311425]",63.15477500606512,1.285323924572507,81.1743432662893,49.13529873574097
B1,2021-08-09,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[11751.490011710099, nan]",11751.490011710095,,,
B1,2021-08-10,Influent,County 6,N1_per_PMMoV,"['1', '2']","[100.0, 80.0]","[3, 3]","[0.0022821787037956144, nan]",0.0022821787037956,,,
B1,2021-08-10,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[50.23752537807956, 73.11524841970859]",60.60634577343944,1.3038993419349436,79.02457437106933,46.48084696745197
B1,2021-08-10,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[22012.96738705292, nan]",22012.967387052937,,,
B1,2021-08-15,Influent,County 6,N1_per_PMMoV,"['1', '2']","[100.0, 80.0]","[3, 3]","[0.0008417664895537495, nan]",0.0008417664895537,,,
B1,2021-08-15,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[181.1580457701775, 88.51744102263295]",126.6319336985625,1.6593215642474144,210.1230983083736,76.3154872612027
B1,2021-08-15,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[215211.7576766638, nan]",215211.7576766637,,,
B1,2021-08-16,Influent,County 6,N1_per_PMMoV,"['1', '2']","[100.0, 80.0]","[3, 3]","[0.004806808768033379, nan]",0.0048068087680333,,,
B1,2021-08-16,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[74.46549827821556, 102.47596991330614]",87.35516104465597,1.2532921859228678,109.48154073730105,69.70055508670676
B1,2021-08-16,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[15491.670642991234, nan]",15491.670642991234,,,
B1,2021-08-22,Influent,County 6,N1_per_PMMoV,"['1', '2']","[100.0, 80.0]","[3, 3]","[0.0025757089148526874, nan]",0.0025757089148526,,,
B1,2021-08-22,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[77.33522219054778, 123.80976845832177]",97.85119290578216,1.3948155111615126,136.4843616506423,70.15350211032424
B1,2021-08-22,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[30024.829958307153, nan]",30024.82995830716,,,
B1,2021-08-23,Influent,County 6,N1_per_PMMoV,"['2', '3']","[95.0, 80.0]","[3, 3]","[0.0009487025940708876, nan]",0.0009487025940708,,,
