sample_code,date_sampling,Flow
B1,2020-07-12 00:00:00,8.3123
B1,2020-07-13 00:00:00,8.4507
B1,2020-07-14 00:00:00,8.0757
B1,2020-07-15 00:00:00,8.5651
B1,2020-07-16 00:00:00,9.3144
B1,2020-07-17 00:00:00,8.3507
B1,2020-07-18 00:00:00,8.2847
B1,2020-07-19 00:00:00,8.4178
B1,2020-07-20 00:00:00,8.7251
B1,2020-07-21 00:00:00,8.6948
B1,2020-07-22 00:00:00,8.6219
B1,2020-07-23 00:00:00,8.51
B1,2020-07-24 00:00:00,8.4611
B1,2020-07-25 00:00:00,8.3244
B1,2020-07-26 00:00:00,8.4292
B1,2020-07-27 00:00:00,8.3011
B1,2020-07-28 00:00:00,8.1455
B1,2020-07-29 00:00:00,8.0827
B1,2020-07-30 00:00:00,8.1904
B1,2020-07-31 00:00:00,8.1082
B1,2020-08-01 00:00:00,8.0628
B1,2020-08-02 00:00:00,8.0381
B1,2020-08-03 00:00:00,8.1942
B1,2020-08-04 00:00:00,8.0343
B1,2020-08-05 00:00:00,7.7964
B1,2020-08-06 00:00:00,7.9744
B1,2020-08-07 00:00:00,7.8876
B1,2020-08-08 00:00:00,7.784
B1,2020-08-09 00:00:00,7.847
B1,2020-08-10 00:00:00,7.8745
B1,2020-08-11 00:00:00,8.3058
B1,2020-08-12 00:00:00,8.748
B1,2020-08-13 00:00:00,8.9687
B1,2020-08-14 00:00:00,7.969
B1,2020-08-15 00:00:00,8.0522
B1,2020-08-16 00:00:00,8.2367
B1,2020-08-17 00:00:00,8.4479
B1,2020-08-18 00:00:00,8.436
B1,2020-08-19 00:00:00,8.3723
B1,2020-08-20 00:00:00,8.4725
B1,2020-08-21 00:00:00,8.4016
B1,2020-08-22 00:00:00,8.3929
B1,2020-08-23 00:00:00,8.5806
B1,2020-08-24 00:00:00,8.727
B1,2020-08-25 00:00:00,8.3854
B1,2020-08-26 00:00:00,8.4373
B1,2020-08-27 00:00:00,8.2867
B1,2020-08-28 00:00:00,8.2996
B1,2020-08-29 00:00:00,8.2949
B1,2020-08-30 00:00:00,8.4005
B1,2020-08-31 00:00:00,8.477
B1,2020-09-01 00:00:00,8.2744
B1,2020-09-02 00:00:00,8.3105
B1,2020-09-03 00:00:00,8.3662
B1,2020-09-04 00:00:00,8.1872
B1,2020-09-05 00:00:00,7.9079
B1,2020-09-06 00:00:00,7.725
B1,2020-09-07 00:00:00,8.2884
B1,2020-09-08 00:00:00,8.3725
B1,2020-09-09 00:00:00,8.2483
B1,2020-09-10 00:00:00,8.4322
B1,2020-09-11 00:00:00,8.3653
B1,2020-09-12 00:00:00,8.3805
B1,2020-09-13 00:00:00,8.471
B1,2020-09-14 00:00:00,8.4191
B1,2020-09-15 00:00:00,8.4748
B1,2020-09-16 00:00:00,8.5659
B1,2020-09-17 00:00:00,8.5017
B1,2020-09-18 00:00:00,8.4314
B1,2020-09-19 00:00:00,8.2616
B1,2020-09-21 00:00:00,8.5677
B1,2020-09-22 00:00:00,8.3324
B1,2020-09-23 00:00:00,8.354
B1,2020-09-24 00:00:00,8.3041
B1,2020-09-25 00:00:00,7.966
B1,2020-09-26 00:00:00,7.9602
B1,2020-09-27 00:00:00,8.0648
B1,2020-09-28 00:00:00,8.1865
B1,2020-09-29 00:00:00,8.2153
B1,2020-09-30 00:00:00,8.2907
B1,2020-10-01 00:00:00,8.2802
B1,2020-10-02 00:00:00,8.0502
B1,2020-10-03 00:00:00,8.2071
B1,2020-10-04 00:00:00,8.2726
B1,2020-10-05 00:00:00,8.2768
B1,2020-10-06 00:00:00,8.1388
B1,2020-10-07 00:00:00,8.2271
B1,2020-10-08 00:00:00,8.4152
B1,2020-10-09 00:00:00,8.3432
B1,2020-10-10 00:00:00,8.3454
B1,2020-10-11 00:00:00,8.2596
B1,2020-10-12 00:00:00,8.3324
B1,2020-10-13 00:00:00,8.314
B1,2020-10-14 00:00:00,8.3736
B1,2020-10-15 00:00:00,8.3404
B1,2020-10-16 00:00:00,8.2613
B1,2020-10-17 00:00:00,8.3806
B1,2020-10-18 00:00:00,8.5485
B1,2020-10-19 00:00:00,9.0062
B1,2020-10-20 00:00:00,8.6413
B1,2020-10-21 00:00:00,8.6153
B1,2020-10-22 00:00:00,8.4656
B1,2020-10-23 00:00:00,8.3837
B1,2020-10-24 00:00:00,8.2668
B1,2020-10-25 00:00:00,8.3768
B1,2020-10-26 00:00:00,8.2835
B1,2020-10-27 00:00:00,8.2969
B1,2020-10-28 00:00:00,8.2376
B1,2020-10-29 00:00:00,8.2953
B1,2020-10-30 00:00:00,8.1907
B1,2020-10-31 00:00:00,8.2611
B1,2020-11-01 00:00:00,8.4271
B1,2020-11-02 00:00:00,8.3972
B1,2020-11-03 00:00:00,8.3756
B1,2020-11-04 00:00:00,8.2813
B1,2020-11-05 00:00:00,8.5569
B1,2020-11-06 00:00:00,8.311
B1,2020-11-07 00:00:00,8.221
B1,2020-11-08 00:00:00,8.1828
B1,2020-11-09 00:00:00,8.4159
B1,2020-11-10 00:00:00,8.2169
B1,2020-11-11 00:00:00,8.3831
B1,2020-11-12 00:00:00,8.3421
B1,2020-11-13 00:00:00,9.3664
B1,2020-11-14 00:00:00,9.7024
B1,2020-11-15 00:00:00,8.7684
B1,2020-11-16 00:00:00,8.8192
B1,2020-11-17 00:00:00,12.4072
B1,2020-11-18 00:00:00,15.5566
B1,2020-11-19 00:00:00,12.3255
B1,2020-11-20 00:00:00,9.1399
B1,2020-11-21 00:00:00,8.832
B1,2020-11-22 00:00:00,8.8513
B1,2020-11-23 00:00:00,8.932
B1,2020-11-24 00:00:00,8.9874
B1,2020-11-25 00:00:00,9.0963
B1,2020-11-26 00:00:00,8.9161
B1,2020-11-27 00:00:00,8.5758
B1,2020-11-28 00:00:00,8.5975
B1,2020-11-29 00:00:00,8.7348
B1,2020-11-30 00:00:00,8.934
B1,2020-12-01 00:00:00,8.8778
B1,2020-12-02 00:00:00,8.8791
B1,2020-12-03 00:00:00,8.9071
B1,2020-12-04 00:00:00,8.8924
B1,2020-12-05 00:00:00,8.5834
B1,2020-12-06 00:00:00,8.7547
B1,2020-12-07 00:00:00,8.8211
B1,2020-12-08 00:00:00,9.0785
B1,2020-12-09 00:00:00,8.8451
B1,2020-12-10 00:00:00,8.702
B1,2020-12-11 00:00:00,8.8089
B1,2020-12-12 00:00:00,9.4171
B1,2020-12-13 00:00:00,16.1713
B1,2020-12-14 00:00:00,11.3362
B1,2020-12-15 00:00:00,10.3182
B1,2020-12-16 00:00:00,9.9127
B1,2020-12-17 00:00:00,12.5427
B1,2020-12-18 00:00:00,10.2011
B1,2020-12-19 00:00:00,9.5471
B1,2020-12-20 00:00:00,9.3191
B1,2020-12-21 00:00:00,9.3366
B1,2020-12-22 00:00:00,9.2604
B1,2020-12-23 00:00:00,9.2646
B1,2020-12-24 00:00:00,9.3453
B1,2020-12-25 00:00:00,13.6762
B1,2020-12-26 00:00:00,13.0227
B1,2020-12-27 00:00:00,10.754
B1,2020-12-28 00:00:00,10.7129
B1,2020-12-29 00:00:00,10.0762
B1,2020-12-30 00:00:00,9.9196
B1,2020-12-31 00:00:00,9.9789
B1,2021-01-01 00:00:00,9.2264
B1,2021-01-02 00:00:00,10.5997
B1,2021-01-03 00:00:00,10.1326
B1,2021-01-04 00:00:00,16.1928
B1,2021-01-05 00:00:00,12.548
B1,2021-01-06 00:00:00,11.498
B1,2021-01-07 00:00:00,10.9249
B1,2021-01-08 00:00:00,10.415
B1,2021-01-09 00:00:00,9.9821
B1,2021-01-10 00:00:00,9.9962
B1,2021-01-11 00:00:00,9.9304
B1,2021-01-12 00:00:00,9.7343
B1,2021-01-13 00:00:00,9.7301
B1,2021-01-14 00:00:00,9.673
B1,2021-01-15 00:00:00,9.3766
B1,2021-01-16 00:00:00,9.2569
B1,2021-01-17 00:00:00,9.1148
B1,2021-01-18 00:00:00,9.4673
B1,2021-01-19 00:00:00,9.1374
B1,2021-01-20 00:00:00,9.0446
B1,2021-01-21 00:00:00,9.0968
B1,2021-01-22 00:00:00,9.7663
B1,2021-01-23 00:00:00,9.7286
B1,2021-01-24 00:00:00,9.5979
B1,2021-01-25 00:00:00,9.7622
B1,2021-01-26 00:00:00,12.6473
B1,2021-01-27 00:00:00,24.0422
B1,2021-01-28 00:00:00,20.7636
B1,2021-01-30 00:00:00,13.1904
B1,2021-01-31 00:00:00,12.0977
B1,2021-02-01 00:00:00,12.5671
B1,2021-02-02 00:00:00,18.1535
B1,2021-02-03 00:00:00,13.6788
B1,2021-02-04 00:00:00,12.303
B1,2021-02-05 00:00:00,11.608
B1,2021-02-06 00:00:00,11.076
B1,2021-02-07 00:00:00,10.9516
B1,2021-02-08 00:00:00,10.7117
B1,2021-02-09 00:00:00,10.4368
B1,2021-02-10 00:00:00,10.1787
B1,2021-02-11 00:00:00,11.4398
B1,2021-02-12 00:00:00,12.162
B1,2021-02-13 00:00:00,10.9827
B1,2021-02-14 00:00:00,10.1989
B1,2021-02-15 00:00:00,10.3437
B1,2021-02-16 00:00:00,10.0169
B1,2021-02-17 00:00:00,9.6391
B1,2021-02-18 00:00:00,9.4749
B1,2021-02-19 00:00:00,9.7269
B1,2021-02-20 00:00:00,9.7544
